id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,0,Mod0,M.USER.APP.0,0,73,97,89,None,0.0005,4.000002,4.000502,1.0,4.000002
9,COMP_M,0,Mod0,M.USER.APP.0,8,73,64,89,None,0.0005,5.000002,5.000502,1.0,5.000002
8,COMP_M,0,Mod0,M.USER.APP.0,7,73,2,89,None,0.0005,6.000003,6.000503,1.0,6.000003
13,COMP_M,0,Mod0,M.USER.APP.0,12,73,66,89,None,0.0005,7.000003,7.000503,1.0,7.000003
14,COMP_M,0,Mod0,M.USER.APP.0,13,73,44,89,None,0.0005,8.000004,8.000504000000001,1.0,8.000004
3,COMP_M,0,Mod0,M.USER.APP.0,2,73,63,89,None,0.0005,9.000004,9.000504000000001,1.0,9.000004
20,COMP_M,0,Mod0,M.USER.APP.0,19,73,97,89,None,0.0005,10.000005000000002,10.000505000000002,1.0,10.000005000000002
1,COMP_M,0,Mod1,M0_1,73,47,89,22,Mod0,0.0003333333333333333,10.000504000000001,10.000837333333335,4.000502,10.000504000000001
4,COMP_M,0,Mod0,M.USER.APP.0,3,73,78,89,None,0.0005,11.000005000000002,11.000505000000002,1.0,11.000005000000002
1,COMP_M,0,Mod2,M0_2,73,74,89,32,Mod0,0.0004,11.000505,11.000905000000001,4.000502,11.000505
15,COMP_M,0,Mod0,M.USER.APP.0,14,73,59,89,None,0.0005,12.000006000000003,12.000506000000003,1.0,12.000006000000003
17,COMP_M,0,Mod0,M.USER.APP.0,16,73,45,89,None,0.0005,13.000006000000003,13.000506000000003,1.0,13.000006000000003
39,COMP_M,0,Mod0,M.USER.APP.0,13,73,44,89,None,0.0005,14.000007000000004,14.000507000000004,2.0,14.000007000000004
1,COMP_M,0,Mod3,M0_3,73,71,89,48,Mod0,0.0004,14.000506000000001,14.000906000000002,4.000502,14.000506000000001
1,COMP_M,0,Mod4,M0_4,73,72,89,49,Mod0,0.001,14.000507000000002,14.001507000000002,4.000502,14.000507000000002
2,COMP_M,0,Mod0,M.USER.APP.0,1,73,33,89,None,0.0005,15.000007000000004,15.000507000000004,1.0,15.000007000000004
1,COMP_M,0,Mod5,M1_1,47,70,22,75,Mod1,0.0003333333333333333,15.000839333333335,15.001172666666669,10.000837333333335,15.000839333333335
24,COMP_M,0,Mod0,M.USER.APP.0,23,73,99,89,None,0.0005,16.000008,16.000508,1.0,16.000008
16,COMP_M,0,Mod0,M.USER.APP.0,15,73,68,89,None,0.0005,17.000008000000005,17.000508000000004,1.0,17.000008000000005
1,COMP_M,0,Mod5,M1_4,72,70,49,75,Mod4,0.0003333333333333333,17.001509000000002,17.001842333333336,14.001507000000002,17.001509000000002
26,COMP_M,0,Mod0,M.USER.APP.0,0,73,97,89,None,0.0005,18.000009000000006,18.000509000000005,2.0,18.000009000000006
9,COMP_M,0,Mod1,M0_1,73,47,89,22,Mod0,0.0003333333333333333,18.000508,18.000841333333334,5.000502,18.000508
34,COMP_M,0,Mod0,M.USER.APP.0,8,73,64,89,None,0.0005,19.000009000000006,19.000509000000005,2.0,19.000009000000006
9,COMP_M,0,Mod2,M0_2,73,74,89,32,Mod0,0.0004,19.000509,19.000909,5.000502,19.000509
18,COMP_M,0,Mod0,M.USER.APP.0,17,73,62,89,None,0.0005,20.000010000000007,20.000510000000006,1.0,20.000010000000007
