id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,70,4,0,2.0000005,M.USER.APP.0,1,1,0
2,LINK,78,7,0,1.0000005,M.USER.APP.0,1,1,1
3,LINK,74,18,0,2.0000005,M.USER.APP.0,1,1,2
4,LINK,44,26,0,1.0000005,M.USER.APP.0,1,1,3
5,LINK,42,40,0,2.0000005,M.USER.APP.0,1,1,4
6,LINK,62,4,0,2.000001,M.USER.APP.0,1,1,5
7,LINK,64,0,0,2.000001,M.USER.APP.0,1,1,6
8,LINK,2,3,0,2.000001,M.USER.APP.0,1,1,7
9,LINK,70,4,0,2.0000005,M.USER.APP.0,1,1,8
10,LINK,78,7,0,1.0000005,M.USER.APP.0,1,1,9
11,LINK,63,38,0,2.0000005,M.USER.APP.0,1,1,10
12,LINK,70,4,0,2.0000005,M.USER.APP.0,1,1,11
13,LINK,95,22,0,1.000001,M.USER.APP.0,1,1,12
14,LINK,45,13,0,1.0000005,M.USER.APP.0,1,1,13
15,LINK,42,40,0,2.0000005,M.USER.APP.0,1,1,14
16,LINK,95,22,0,1.000001,M.USER.APP.0,1,1,15
17,LINK,68,16,0,1.0000005,M.USER.APP.0,1,1,16
18,LINK,66,20,0,1.0000005,M.USER.APP.0,1,1,17
19,LINK,44,26,0,1.0000005,M.USER.APP.0,1,1,18
20,LINK,68,16,0,1.0000005,M.USER.APP.0,1,1,19
21,LINK,45,13,0,1.0000005,M.USER.APP.0,1,1,20
22,LINK,70,4,0,2.0000005,M.USER.APP.0,1,1,21
23,LINK,97,3,0,1.000001,M.USER.APP.0,1,1,22
24,LINK,82,21,0,1.000001,M.USER.APP.0,1,1,23
25,LINK,2,3,0,2.000001,M.USER.APP.0,1,1,24
26,LINK,33,27,0,2.000001,M.USER.APP.0,1,1,25
27,LINK,63,38,0,2.0000005,M.USER.APP.0,1,1,26
28,LINK,78,7,0,1.0000005,M.USER.APP.0,1,1,27
29,LINK,70,4,0,2.0000005,M.USER.APP.0,1,1,28
30,LINK,63,38,0,2.0000005,M.USER.APP.0,1,1,29
31,LINK,52,40,0,1.0000005,M.USER.APP.0,1,1,30
32,LINK,2,3,0,2.000001,M.USER.APP.0,1,1,31
33,LINK,64,0,0,2.000001,M.USER.APP.0,1,1,32
34,LINK,42,40,0,2.0000005,M.USER.APP.0,1,1,33
35,LINK,95,22,0,1.000001,M.USER.APP.0,1,1,34
36,LINK,74,18,0,2.0000005,M.USER.APP.0,1,1,35
37,LINK,66,20,0,1.0000005,M.USER.APP.0,1,1,36
38,LINK,44,26,0,1.0000005,M.USER.APP.0,1,1,37
