id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
2,SINK_M,Aplikasi B,Actuator,M.Action,1,2,2,5,Generator,0,12.00001,12.00001,10.0,12.00001
1,SINK_M,Aplikasi B,Actuator,M.Action,0,2,12,5,Generator,0,14.00002,14.00002,10.0,14.00002
4,SINK_M,Aplikasi B,Actuator,M.Action,1,2,2,5,Generator,0,22.00001,22.00001,20.0,22.00001
3,SINK_M,Aplikasi B,Actuator,M.Action,0,2,12,5,Generator,0,24.00002,24.00002,20.0,24.00002
6,SINK_M,Aplikasi B,Actuator,M.Action,1,2,2,5,Generator,0,32.00001,32.00001,30.0,32.00001
5,SINK_M,Aplikasi B,Actuator,M.Action,0,2,12,5,Generator,0,34.000020000000006,34.000020000000006,30.0,34.000020000000006
8,SINK_M,Aplikasi B,Actuator,M.Action,1,2,2,5,Generator,0,42.00001,42.00001,40.0,42.00001
7,SINK_M,Aplikasi B,Actuator,M.Action,0,2,12,5,Generator,0,44.000020000000006,44.000020000000006,40.0,44.000020000000006
10,SINK_M,Aplikasi B,Actuator,M.Action,1,2,2,5,Generator,0,52.00001,52.00001,50.0,52.00001
9,SINK_M,Aplikasi B,Actuator,M.Action,0,2,12,5,Generator,0,54.000020000000006,54.000020000000006,50.0,54.000020000000006
12,SINK_M,Aplikasi B,Actuator,M.Action,1,2,2,5,Generator,0,62.00001,62.00001,60.0,62.00001
11,SINK_M,Aplikasi B,Actuator,M.Action,0,2,12,5,Generator,0,64.00002,64.00002,60.0,64.00002
14,SINK_M,Aplikasi B,Actuator,M.Action,1,2,2,5,Generator,0,72.00001,72.00001,70.0,72.00001
13,SINK_M,Aplikasi B,Actuator,M.Action,0,2,12,5,Generator,0,74.00002,74.00002,70.0,74.00002
16,SINK_M,Aplikasi B,Actuator,M.Action,1,2,2,5,Generator,0,82.00001,82.00001,80.0,82.00001
15,SINK_M,Aplikasi B,Actuator,M.Action,0,2,12,5,Generator,0,84.00002,84.00002,80.0,84.00002
18,SINK_M,Aplikasi B,Actuator,M.Action,1,2,2,5,Generator,0,92.00001,92.00001,90.0,92.00001
17,SINK_M,Aplikasi B,Actuator,M.Action,0,2,12,5,Generator,0,94.00002,94.00002,90.0,94.00002
20,SINK_M,Aplikasi B,Actuator,M.Action,1,2,2,5,Generator,0,102.00001,102.00001,100.0,102.00001
19,SINK_M,Aplikasi B,Actuator,M.Action,0,2,12,5,Generator,0,104.00002,104.00002,100.0,104.00002
22,SINK_M,Aplikasi B,Actuator,M.Action,1,2,2,5,Generator,0,112.00001,112.00001,110.0,112.00001
21,SINK_M,Aplikasi B,Actuator,M.Action,0,2,12,5,Generator,0,114.00002,114.00002,110.0,114.00002
24,SINK_M,Aplikasi B,Actuator,M.Action,1,2,2,5,Generator,0,122.00001,122.00001,120.0,122.00001
