id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,12,2,Aplikasi B,1.000005,M.Action,10,10,0
2,LINK,2,5,Aplikasi B,2.00001,M.Action,10,10,1
1,LINK,2,5,Aplikasi B,2.00001,M.Action,11.000005,10,1
3,LINK,12,2,Aplikasi B,1.000005,M.Action,20,10,0
4,LINK,2,5,Aplikasi B,2.00001,M.Action,20,10,1
3,LINK,2,5,Aplikasi B,2.00001,M.Action,21.000005,10,1
5,LINK,12,2,Aplikasi B,1.000005,M.Action,30,10,0
6,LINK,2,5,Aplikasi B,2.00001,M.Action,30,10,1
5,LINK,2,5,Aplikasi B,2.00001,M.Action,31.000005,10,1
7,LINK,12,2,Aplikasi B,1.000005,M.Action,40,10,0
8,LINK,2,5,Aplikasi B,2.00001,M.Action,40,10,1
7,LINK,2,5,Aplikasi B,2.00001,M.Action,41.000005,10,1
9,LINK,12,2,Aplikasi B,1.000005,M.Action,50,10,0
10,LINK,2,5,Aplikasi B,2.00001,M.Action,50,10,1
9,LINK,2,5,Aplikasi B,2.00001,M.Action,51.000005,10,1
11,LINK,12,2,Aplikasi B,1.000005,M.Action,60,10,0
12,LINK,2,5,Aplikasi B,2.00001,M.Action,60,10,1
11,LINK,2,5,Aplikasi B,2.00001,M.Action,61.000005,10,1
13,LINK,12,2,Aplikasi B,1.000005,M.Action,70,10,0
14,LINK,2,5,Aplikasi B,2.00001,M.Action,70,10,1
13,LINK,2,5,Aplikasi B,2.00001,M.Action,71.000005,10,1
15,LINK,12,2,Aplikasi B,1.000005,M.Action,80,10,0
16,LINK,2,5,Aplikasi B,2.00001,M.Action,80,10,1
15,LINK,2,5,Aplikasi B,2.00001,M.Action,81.000005,10,1
17,LINK,12,2,Aplikasi B,1.000005,M.Action,90,10,0
18,LINK,2,5,Aplikasi B,2.00001,M.Action,90,10,1
17,LINK,2,5,Aplikasi B,2.00001,M.Action,91.000005,10,1
19,LINK,12,2,Aplikasi B,1.000005,M.Action,100,10,0
20,LINK,2,5,Aplikasi B,2.00001,M.Action,100,10,1
19,LINK,2,5,Aplikasi B,2.00001,M.Action,101.000005,10,1
21,LINK,12,2,Aplikasi B,1.000005,M.Action,110,10,0
22,LINK,2,5,Aplikasi B,2.00001,M.Action,110,10,1
21,LINK,2,5,Aplikasi B,2.00001,M.Action,111.000005,10,1
23,LINK,12,2,Aplikasi B,1.000005,M.Action,120,10,0
24,LINK,2,5,Aplikasi B,2.00001,M.Action,120,10,1
23,LINK,2,5,Aplikasi B,2.00001,M.Action,121.000005,10,1
25,LINK,12,2,Aplikasi B,1.000005,M.Action,130,10,0
26,LINK,2,5,Aplikasi B,2.00001,M.Action,130,10,1
25,LINK,2,5,Aplikasi B,2.00001,M.Action,131.000005,10,1
27,LINK,12,2,Aplikasi B,1.000005,M.Action,140,10,0
28,LINK,2,5,Aplikasi B,2.00001,M.Action,140,10,1
27,LINK,2,5,Aplikasi B,2.00001,M.Action,141.000005,10,1
29,LINK,12,2,Aplikasi B,1.000005,M.Action,150,10,0
30,LINK,2,5,Aplikasi B,2.00001,M.Action,150,10,1
29,LINK,2,5,Aplikasi B,2.00001,M.Action,151.000005,10,1
31,LINK,12,2,Aplikasi B,1.000005,M.Action,160,10,0
32,LINK,2,5,Aplikasi B,2.00001,M.Action,160,10,1
31,LINK,2,5,Aplikasi B,2.00001,M.Action,161.000005,10,1
33,LINK,12,2,Aplikasi B,1.000005,M.Action,170,10,0
34,LINK,2,5,Aplikasi B,2.00001,M.Action,170,10,1
33,LINK,2,5,Aplikasi B,2.00001,M.Action,171.000005,10,1
35,LINK,12,2,Aplikasi B,1.000005,M.Action,180,10,0
36,LINK,2,5,Aplikasi B,2.00001,M.Action,180,10,1
35,LINK,2,5,Aplikasi B,2.00001,M.Action,181.000005,10,1
37,LINK,12,2,Aplikasi B,1.000005,M.Action,190,10,0
38,LINK,2,5,Aplikasi B,2.00001,M.Action,190,10,1
37,LINK,2,5,Aplikasi B,2.00001,M.Action,191.000005,10,1
39,LINK,12,2,Aplikasi B,1.000005,M.Action,200,10,0
